@relation data_test

@attribute class {TR_middle-aged,BR_middle-aged,TR_young,BR_young,TR_old,BR_old,top-rated,bottom-rated,None}
@attribute text String

@data
TR_middle-aged,'Hi Bott! can you get products bought by middle-aged people'
TR_middle-aged,'Can you suggest some products for middle aged people'
TR_middle-aged,'What is the best products that can be suggested for middle-aged people?'
TR_middle-aged,'Hello Bott! What products do you suggest for middle aged persons?'
TR_middle-aged,'Get me the good products brought by middle-aged people'
TR_middle-aged,'Top rated for middle-aged'
TR_middle-aged,'Top rated for middle-aged group'
TR_middle-aged,'Top rated for middle aged group'
TR_middle-aged,'good products for middle-aged'
TR_middle-aged,'best products for middle-aged'
TR_middle-aged,'nice stuff for middle-aged'
TR_middle-aged,'fast selling products for middle-aged'
TR_middle-aged,'most selling products for middle-aged'
TR_middle-aged,'popular products for middle-aged'
TR_middle-aged,'most popular products for middle-aged'
TR_middle-aged,'top-rated product for middle-aged people'
TR_middle-aged,'top rated product for middle-aged people'
TR_middle-aged,'top rated product for middle aged people'
TR_middle-aged,'top-rated product for middle aged people'
TR_middle-aged,'top rated product for middle-aged people'
TR_middle-aged,'tell me the products that are good selling for middle-aged'
TR_middle-aged,'tell me the products that are not bad selling for middle-aged'
TR_middle-aged,'tell me the products that are popular among middle-aged people'
TR_middle-aged,'tell me the products that are most popular for middle-aged'
BR_middle-aged,'Hi Bott! can you get worst rated products bought by middle-aged people'
BR_middle-aged,'What products were rated worst by middle aged people?'
BR_middle-aged,'What are the worst products that can be suggested for middle-aged people?'
BR_middle-aged,'Get me the list of worst rated products bought by middle-aged people'
BR_middle-aged,'Get me the list of bottom rated products bought by middle-aged people'
BR_middle-aged,'Bottom rated for middle-aged'
BR_middle-aged,'bottom rated product for middle aged people'
BR_middle-aged,'bottom-rated product for middle aged people'
BR_middle-aged,'Bottom-rated for middle aged people'
BR_middle-aged,'Bottom-rated for middle-aged people'
BR_middle-aged,'Bottom-rated for middle-aged group'
BR_middle-aged,'Bottom-rated for middle aged group'
BR_middle-aged,'bottom rated for middle aged group'
BR_middle-aged,'bottom rated for middle-aged group'
BR_middle-aged,'Worst rated for middle-aged'
BR_middle-aged,'not good stuff for middle-aged'
BR_middle-aged,'not selling products for middle-aged'
BR_middle-aged,'tell me the products that are least selling at all for middle-aged people'
BR_middle-aged,'tell me the products that are not selling at all for middle-aged'
BR_middle-aged,'tell me the products that are not good at all for middle-aged'
BR_middle-aged,'tell me the products that are not popular among middle-aged'
BR_middle-aged,'tell me the products that are not popular for middle-aged'
TR_young,'Hi Bott! can you get products bought by young people'
TR_young,'Can you suggest some products for youth'
TR_young,'What is the best products that can be suggested for teenagers?'
TR_young,'Hello Bott! What products do you suggest for young persons?'
TR_young,'Get me the list of products brought by young people'
TR_young,'Top rated for young people'
TR_young,'good products for teenagers'
TR_young,'best products for youth'
TR_young,'Top rated for youth'
TR_young,'Top-rated for youth'
